"name","version","symbolicName"
"Adobe Experience Manager GraphQL for Sites - API","0.0.1.V660-B0010","com.adobe.aem.graphql.sites-api"
"Adobe Experience Manager GraphQL for Sites - Base Module","0.0.1.V660-B0024","com.adobe.aem.graphql.sites-base"
"Adobe Experience Manager GraphQL Java Wrapper","0.0.1.V660-B0018","com.adobe.aem.com.adobe.aem.graphql-java-wrapper"
"Adobe Experience Manager GraphQL Sling Adapter","0.0.1.V660-B0012","com.adobe.aem.graphql.sling-adapter"
"Adobe Experience Manager HTL Extension","1.7.10","com.adobe.cq.sightly.cq-wcm-sightly-extension"
"Adobe FO Markup Layout Library","3.0.628531","afml"
"Adobe Font Engine","3.0.630138","afe"
"Adobe FormsPortal Services Bundle","8.1.2","com.adobe.livecycle.formsportal-bundle"
"Adobe GLobalization Library(Min)","1.8.2","AGL_min"
"Adobe Granite - SAML 2.0 Authentication Handler","1.0.59.V660-B0006","com.adobe.granite.auth.saml"
"Adobe Granite - SAML 2.0 Authentication Handler Dynamic Group Migration Hook","0.0.8","com.adobe.granite.auth.saml.migration"
"Adobe Granite ACP Platform","0.3.38","com.adobe.granite.acp.platform"
"Adobe Granite Activity Streams","0.0.46","com.adobe.granite.activitystreams"
"Adobe Granite Asset API","2.0.12","com.adobe.granite.asset.api"
"Adobe Granite Asset API Implementation","2.2.64.V660-B0002","com.adobe.granite.asset.core"
"Adobe Granite Async Jobs","1.0.36","com.adobe.granite.jobs.async"
"Adobe Granite Async Jobs","3.1.8","com.adobe.granite.jobs.async.ui.commons"
"Adobe Granite Authentication Handler","5.6.92.V660-B0006","com.day.cq.cq-authhandler"
"Adobe Granite Certificate Authentication Handler","1.1.0","com.adobe.granite.auth.cert"
"Adobe Granite Cloud Settings Core Bundle","1.2.5.V660-B0002","com.adobe.granite.cloudsettings.core"
"Adobe Granite Commenting Support","1.0.38","com.adobe.granite.comments"
"Adobe Granite Commons Library - Data Source Pool","1.0.12","day.commons.datasource.poolservice"
"Adobe Granite Commons Library - JavaServer Pages Standard Tag Library","1.2.2","day-commons-jstl"
"Adobe Granite Commons Library - JDBC pool provider for the Data Source Pool","1.0.26","day.commons.datasource.jdbcpool"
"Adobe Granite Compat Router","1.0.4","com.adobe.granite.compat-router"
"Adobe Granite Conf Manager","1.2.20","com.adobe.granite.confmgr"
"Adobe Granite Configuration Manager UI Core Module","0.0.44","com.adobe.granite.conf.ui.core"
"Adobe Granite Context-Aware Configuration Extension","1.0.22","com.adobe.granite.conf"
"Adobe Granite ContextHub Commons","0.2.10","com.adobe.granite.contexthub.commons"
"Adobe Granite CORS Support","1.0.10.V660-B0004","com.adobe.granite.cors"
"Adobe Granite CRX Package Manager","1.2.80.V660-B0008","com.adobe.granite.crx-packagemgr"
"Adobe Granite CRXDE Lite","1.1.44.V660-B0008","com.adobe.granite.crxde-lite"
"Adobe Granite Crypto Bundle Key Provider","0.0.22","com.adobe.granite.crypto.file"
"Adobe Granite Crypto Configuraton","0.0.10","com.adobe.granite.crypto.config"
"Adobe Granite Crypto Extension","0.0.10","com.adobe.granite.crypto.extension"
"Adobe Granite Crypto JCR Key Provider","0.0.12","com.adobe.granite.crypto.jcr"
"Adobe Granite Crypto Keystore","4.0.10","com.adobe.granite.crypto.keystore"
"Adobe Granite Crypto Support","3.5.2","com.adobe.granite.crypto"
"Adobe Granite CSRF Framework","1.0.20.V660-B0002","com.adobe.granite.csrf"
"Adobe Granite Frags","0.0.2","com.adobe.granite.frags.impl"
"Adobe Granite Health Checks for the Repository","1.0.65.V660-B0010","com.adobe.granite.repository.hc.impl"
"Adobe Granite Health Checks related to bundles","1.0.42","com.adobe.granite.bundles.hc.impl"
"Adobe Granite Health Checks related to Replication","1.0.30","com.adobe.granite.replication.hc.impl"
"Adobe Granite HTTP Cache - Core Bundle","1.0.8","com.adobe.granite.httpcache.core"
"Adobe Granite I18N Module","5.5.16.V660-B0002","com.day.cq.cq-i18n"
"Adobe Granite IMSAuthentication Handler","1.4.62","com.adobe.granite.auth.ims"
"Adobe Granite Installer for Content Packages","1.0.14.V660-B0004","com.adobe.granite.installer.factory.packages"
"Adobe Granite JCR Cluster Support","0.7.6","com.day.cq.cq-jcrclustersupport"
"Adobe Granite JMX Support","0.3.4","com.adobe.granite.jmx"
"Adobe Granite License Module","1.2.18","com.adobe.granite.license"
"Adobe Granite Maintenance Core","1.3.48","com.adobe.granite.maintenance.core"
"Adobe Granite Monitoring Support","1.0.10","com.adobe.granite.monitoring.core"
"Adobe Granite OAuth Authentication Handler","1.10.32.B0004","com.adobe.granite.auth.oauth"
"Adobe Granite OAuth Server (DEPRECATED)","1.1.32","com.adobe.granite.oauth.server"
"Adobe Granite Offloading Core","1.0.74","com.adobe.granite.offloading.core"
"Adobe Granite Offloading Workflow","1.0.14","com.adobe.granite.offloading.workflow"
"Adobe Granite Omnisearch Core Module","1.0.91.V660-B0002","com.adobe.granite.omnisearch.core"
"Adobe Granite Operations Dashboard UI Core Package","0.0.68","com.adobe.granite.operations.ui.core"
"Adobe Granite Opt-Out Module","1.0.0","com.adobe.granite.optout"
"Adobe Granite org.json-20231013 Wrapper","20231013.0.0.2","json"
"Adobe Granite Query Token Authentication Handler","1.0.8","com.adobe.granite.auth.querytoken"
"Adobe Granite References Core Bundle","1.1.0.V660-B0070","com.adobe.granite.references.core"
"Adobe Granite Replication","6.2.86.V660-B0000","com.day.cq.cq-replication"
"Adobe Granite Repository Check bundle","1.0.2","com.adobe.granite.repository.checker"
"Adobe Granite Resource Status Bundle","1.0.2","com.adobe.granite.resourcestatus"
"Adobe Granite ResourceResolver Helper","1.0.6","com.adobe.granite.resourceresolverhelper"
"Adobe Granite RESTful API Assets","1.0.58.V660-B0002","com.adobe.granite.rest.assets"
"Adobe Granite RESTful API Core","1.1.16.V660-B0004","com.adobe.granite.rest.api"
"Adobe Granite Security Module","0.4.63.V660-B0004","com.adobe.granite.security.user"
"Adobe Granite Security Permissions Module","0.0.18.V660-B002","com.adobe.granite.security.permissions"
"Adobe Granite Security UI Module","1.0.90","com.adobe.granite.security.ui"
"Adobe Granite Sling Distribution - Core","0.2.54.V660-B0003","com.adobe.granite.distribution.core"
"Adobe Granite Social Graph","0.1.4","com.adobe.granite.socialgraph"
"Adobe Granite SSL ContextFactory for Jetty","1.1.2","com.adobe.granite.jetty.ssl"
"Adobe Granite SSO Authentication Handler","0.0.28","com.adobe.granite.auth.sso"
"Adobe Granite Startup Module","0.6.6","com.adobe.granite.startup"
"Adobe Granite Taskmanagement API","1.0.4.V660-B0001","com.adobe.granite.taskmanagement.api"
"Adobe Granite Taskmanagement Core","1.0.54.V660-B0001","com.adobe.granite.taskmanagement.core"
"Adobe Granite Taskmanagement Workflow Integration","1.0.10.V660-B0001","com.adobe.granite.taskmanagement.workflow"
"Adobe Granite Thread Dumps collector","1.0.36.V660-B0002","com.adobe.granite.threaddump"
"Adobe Granite Timeline Support","1.0.26.V660-B0004","com.adobe.granite.timeline"
"Adobe Granite Toggle API","1.2.20","com.adobe.granite.toggle.api"
"Adobe Granite Toggle Dynamic Configurator","1.1.8","com.adobe.granite.toggle.impl.dev"
"Adobe Granite Toggle Frontend Servlet","0.9.32","com.adobe.granite.toggle.impl"
"Adobe Granite Toggle Static Connector","1.0.12","com.adobe.granite.toggle.impl.static"
"Adobe Granite Token Authentication","2.7.1.V660-B0003","com.day.crx.sling.crx-auth-token"
"Adobe Granite UI Clientlibs","1.0.92.V660-B0004","com.adobe.granite.ui.clientlibs"
