"name","version","downloadName"
"tsdk-aem-clientlib","1.1.24-V660-B0001","tsdk-aem-clientlib-1.1.24-V660-B0001.zip"
"graphiql.ui.apps","0.0.47-V660-B0012","graphiql.ui.apps-0.0.47-V660-B0012.zip"
"cq-inbox-content","1.2.94-V660-B0005","cq-inbox-content-1.2.94-V660-B0005.zip"
"adobe-aemds-formsanddocuments-core-pkg","8.1.16","adobe-aemds-formsanddocuments-core-pkg-8.1.16.zip"
"adobe-aemds-formsportal-pkg","8.1.2","adobe-aemds-formsportal-pkg-8.1.2.zip"
"adobe-lc-forms-runtime-pkg","8.1.8","adobe-lc-forms-runtime-pkg-8.1.8.zip"
"aemds-guide-content","6.1.10","aemds-guide-content-6.1.10.zip"
"aemfd-expeditor-rulebuilder-pkg","5.1.34","aemfd-expeditor-rulebuilder-pkg-5.1.34.zip"
"aemforms-commons-content","6.1.74","aemforms-commons-content-6.1.74.zip"
"af-exp-editor-content","1.2.2","af-exp-editor-content-1.2.2.zip"
"channel-core-content","2.1.2","channel-core-content-2.1.2.zip"
"cq-adaptiveforms-i18n-content","5.1.4","cq-adaptiveforms-i18n-content-5.1.4.zip"
"forms-content-clean-up-pkg","4.1.2","forms-content-clean-up-pkg-4.1.2.zip"
"forms-foundation-qs-content","4.1.4","forms-foundation-qs-content-4.1.4.zip"
"cdn-integration-content","2.4","cdn-integration-content-2.4.zip"
"cfm-graphql-content","0.0.1-V660-B0020","cfm-graphql-content-0.0.1-V660-B0020.zip"
"cq-cloudservices-content","1.5.48","cq-cloudservices-content-1.5.48.zip"
"cq-content","6.5.16-V660-B0006","cq-content-6.5.16-V660-B0006.zip"
"cq-content-insight-content","1.5.16-V660-B0004","cq-content-insight-content-1.5.16-V660-B0004.zip"
"cq-dam-cfm-content","0.11.238","cq-dam-cfm-content-0.11.238.zip"
"cq-dam-content","2.5.1316","cq-dam-content-2.5.1316.zip"
"cq-dam-delivery-content","1.5.6-V660-B0002","cq-dam-delivery-content-1.5.6-V660-B0002.zip"
"cq-dam-mac-sync-pkg","1.5.30","cq-dam-mac-sync-pkg-1.5.30.zip"
"cq-dam-projects-addons-content","0.1.18","cq-dam-projects-addons-content-0.1.18.zip"
"cq-dam-sample-content","1.4.10","cq-dam-sample-content-1.4.10.zip"
"cq-dam-scene7-viewers-content","2.3.124","cq-dam-scene7-viewers-content-2.3.124.zip"
"cq-dam-stock-integration-content","1.1.20","cq-dam-stock-integration-content-1.1.20.zip"
"cq-dashboards-content","1.4.8","cq-dashboards-content-1.4.8.zip"
"cq-dynamicmedia-content","1.0.546","cq-dynamicmedia-content-1.0.546.zip"
"cq-foundation-content","1.5.140","cq-foundation-content-1.5.140.zip"
"cq-i18n-content","1.5.148","cq-i18n-content-1.5.148.zip"
